instruction,input,output,source,task
"Translate the following Hassania Arabic dialect text to English:
شنه شقلت عمتك؟",,What does your aunt do?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Excuse me for opening your letter by mistake.",,اسمح لي افتحت رسالتك بالغلط,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
اسمح لي افتحت رسالتك بالغلط",,Excuse me for opening your letter by mistake.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,اسمح لي افتحت,اسمح لي افتحت رسالتك بالغلط,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
She has as many books as I.",,عنده نفس عدد لكتوب لي عندي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
عنده نفس عدد لكتوب لي عندي",,She has as many books as I.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,عنده نفس عدد ,عنده نفس عدد لكتوب لي عندي,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
The door remained closed all day.",,الباب كان مگفول النهار كامل,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
الباب كان مگفول النهار كامل",,The door remained closed all day.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,الباب كان مگف,الباب كان مگفول النهار كامل,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
She eats nothing but vegetables.",,هي ما توكل ماه الخضرة,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
هي ما توكل ماه الخضرة",,She eats nothing but vegetables.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,هي ما توكل,هي ما توكل ماه الخضرة,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Make sure to turn off all the lights before going out.",,اتأكد من طفي الاظواو كاملين من سابق تمشي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
اتأكد من طفي الاظواو كاملين من سابق تمشي",,Make sure to turn off all the lights before going out.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,اتأكد من طفي الاظواو,اتأكد من طفي الاظواو كاملين من سابق تمشي,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
A door must be either shut or open.",,الباب يالت يعود الا مگفول ولا مفتوح,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
الباب يالت يعود الا مگفول ولا مفتوح",,A door must be either shut or open.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,الباب يالت يعود ا,الباب يالت يعود الا مگفول ولا مفتوح,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Lack of food had left him weak and exhausted.",,گلت لوكيل خلات اضعيف و تعبان,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
گلت لوكيل خلات اضعيف و تعبان",,Lack of food had left him weak and exhausted.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,گلت لوكيل خلات,گلت لوكيل خلات اضعيف و تعبان,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
The meeting is held twice a month.",,الاجتماع يعدل مرتين في الشهر,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
الاجتماع يعدل مرتين في الشهر",,The meeting is held twice a month.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,الاجتماع يعدل ,الاجتماع يعدل مرتين في الشهر,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
The bridge is under construction.",,الجسر مزال يبتنى,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
الجسر مزال يبتنى",,The bridge is under construction.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
I was in the mountains.",,كنتْ افلكد,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
كنتْ افلكد",,I was in the mountains.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Don't touch me with your soapy hands.",,لا تمسني وأيدك فيها بل الصابون,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
لا تمسني وأيدك فيها بل الصابون",,Don't touch me with your soapy hands.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,لا تمسني وأيدك ,لا تمسني وأيدك فيها بل الصابون,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
May I use your phone?",,انگد انعمل تلفونك؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
انگد انعمل تلفونك؟",,May I use your phone?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Its value trebled.",,عاد يسوي صوگو اثلت مرات,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
عاد يسوي صوگو اثلت مرات",,Its value trebled.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,عاد يسوي صو,عاد يسوي صوگو اثلت مرات,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
He doesn't live in my neighborhood.",,هو مو ساكن في كارتيتن,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
هو مو ساكن في كارتيتن",,He doesn't live in my neighborhood.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,هو مو ساكن,هو مو ساكن في كارتيتن,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Have you ever been to Mexico?",,گطيت امشيت شور المكسيك؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
گطيت امشيت شور المكسيك؟",,Have you ever been to Mexico?,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,گطيت امشيت ,گطيت امشيت شور المكسيك؟,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Who shall ever unravel the mysteries of the sea?",,احليلكم حگلل من ليهي يكتشف اسرار لبحر؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
احليلكم حگلل من ليهي يكتشف اسرار لبحر؟",,Who shall ever unravel the mysteries of the sea?,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,احليلكم حگلل من ليه,احليلكم حگلل من ليهي يكتشف اسرار لبحر؟,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
You made the same mistake as last time.",,عليت نفس الغلط الفايت,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
عليت نفس الغلط الفايت",,You made the same mistake as last time.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,عليت نفس ا,عليت نفس الغلط الفايت,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
The machine is now in operation.",,المكينة خاسرة,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
المكينة خاسرة",,The machine is now in operation.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Please remove your shoes before entering the house.",,حگل افسخ نعايلك من سابگ تدخل الدار,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
حگل افسخ نعايلك من سابگ تدخل الدار",,Please remove your shoes before entering the house.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,حگل افسخ نعايلك م,حگل افسخ نعايلك من سابگ تدخل الدار,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
We need action, not words.",,نحتاجو الشقل ماه الكلام,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
نحتاجو الشقل ماه الكلام",,"We need action, not words.",dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,نحتاجو الشق,نحتاجو الشقل ماه الكلام,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Your problem is similar to mine.",,عندك نفس المشكيل لي عندي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
عندك نفس المشكيل لي عندي",,Your problem is similar to mine.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,عندك نفس الم,عندك نفس المشكيل لي عندي,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
It is hard to wake up without a strong cup of coffee.",,واعر علي نوعى من دون كاس من كافه مركز,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
واعر علي نوعى من دون كاس من كافه مركز",,It is hard to wake up without a strong cup of coffee.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,واعر علي نوعى من د,واعر علي نوعى من دون كاس من كافه مركز,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
The box was so heavy I could not move it.",,الصندوگ كان ثگيل لين ما گديت نحركو,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
الصندوگ كان ثگيل لين ما گديت نحركو",,The box was so heavy I could not move it.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,الصندوگ كان ثگيل ,الصندوگ كان ثگيل لين ما گديت نحركو,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Who painted this painting?",,ذي لوحة المن؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ذي لوحة المن؟",,Who painted this painting?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Don't set your failure down to bad luck.",,لا دير اعل اللعگ ان فيك الزقبة,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
لا دير اعل اللعگ ان فيك الزقبة",,Don't set your failure down to bad luck.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,لا دير اعل اللع,لا دير اعل اللعگ ان فيك الزقبة,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
The spirit is willing, but the flesh is weak.",,"النفس حي, و الجسم اضْعَيِفْ",dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
النفس حي, و الجسم اضْعَيِفْ",,"The spirit is willing, but the flesh is weak.",dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,"النفس حي, و ا","النفس حي, و الجسم اضْعَيِفْ",dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Where's the nearest drugstore?",,امنين هي اگرب صيدليه,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
امنين هي اگرب صيدليه",,Where's the nearest drugstore?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
That was an evil bunny.",,ذاكْ كان نيرب محالي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ذاكْ كان نيرب محالي",,That was an evil bunny.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
When I grow up, I want to be a king.",,ايلين نكبر، نبق انعود ملك,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ايلين نكبر، نبق انعود ملك",,"When I grow up, I want to be a king.",dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,ايلين نكبر، ,ايلين نكبر، نبق انعود ملك,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
I remember giving him the key.",,حاجلي اني عطيتو المفتاح,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
حاجلي اني عطيتو المفتاح",,I remember giving him the key.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,حاجلي اني ع,حاجلي اني عطيتو المفتاح,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
He's behaving oddly.",,ماه على بابو,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ماه على بابو",,He's behaving oddly.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Forgive me. ""What do I have to forgive?""",,"اسمحلي. ""ذ ال يالتي نسمح شنه""؟",dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
اسمحلي. ""ذ ال يالتي نسمح شنه""؟",,"Forgive me. ""What do I have to forgive?""",dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,"اسمحلي. ""ذ ال ي","اسمحلي. ""ذ ال يالتي نسمح شنه""؟",dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
No I'm not; you are!",,ماه آنَ، الا انت!,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ماه آنَ، الا انت!",,No I'm not; you are!,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
I'd like to mail this package to Canada.",,نبغي نمشي ذ الكولي ال كندا,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
نبغي نمشي ذ الكولي ال كندا",,I'd like to mail this package to Canada.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,نبغي نمشي ذ ا,نبغي نمشي ذ الكولي ال كندا,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
There is a mosque near my house.",,خالگ مسجد حذا الدار,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
خالگ مسجد حذا الدار",,There is a mosque near my house.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Bring me something to eat.",,جيب لي شي ينكال,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
جيب لي شي ينكال",,Bring me something to eat.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Is it a recent picture?",,مندركان ذي صورة اجديدة,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
مندركان ذي صورة اجديدة",,Is it a recent picture?,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,مندركان ذي ,مندركان ذي صورة اجديدة,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
I'd like to report a theft.",,ندور نبلغ عن صرگة,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ندور نبلغ عن صرگة",,I'd like to report a theft.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
We will exempt you from attending.",,ما عليك تجي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ما عليك تجي",,We will exempt you from attending.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Lucy should be in the kitchen now.",,لوسي يالل تعود ظرك في الكوزين,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
لوسي يالل تعود ظرك في الكوزين",,Lucy should be in the kitchen now.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,لوسي يالل تعود,لوسي يالل تعود ظرك في الكوزين,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
A known mistake is better than an unknown truth.",,گولان رواي مانك تاقنه خير من اتعود مانك گاع عالم بيه,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
گولان رواي مانك تاقنه خير من اتعود مانك گاع عالم بيه",,A known mistake is better than an unknown truth.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,گولان رواي مانك تاقنه خير ,گولان رواي مانك تاقنه خير من اتعود مانك گاع عالم بيه,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
You'd better get going in case you miss the bus.",,اخير فيك تگيم ظرك لا يفوتك البيس,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
اخير فيك تگيم ظرك لا يفوتك البيس",,You'd better get going in case you miss the bus.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,اخير فيك تگيم ظر,اخير فيك تگيم ظرك لا يفوتك البيس,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
We have two dogs. One is black and the other is white.",,عندنا كلبين واحد اكحل و لوخر ابيظ,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
عندنا كلبين واحد اكحل و لوخر ابيظ",,We have two dogs. One is black and the other is white.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,عندنا كلبين واحد,عندنا كلبين واحد اكحل و لوخر ابيظ,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Did you leave a tip?",,خليتلو الدگديگ؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
خليتلو الدگديگ؟",,Did you leave a tip?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
What time does your plane leave?",,أي وقت لاه طير طايرة؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
أي وقت لاه طير طايرة؟",,What time does your plane leave?,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,أي وقت لاه,أي وقت لاه طير طايرة؟,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
The job looked quite simple, but it took me a week.",,ذاك كان كيفتشي هين يغير گبظلي أسبوع,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ذاك كان كيفتشي هين يغير گبظلي أسبوع",,"The job looked quite simple, but it took me a week.",dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,ذاك كان كيفتشي هي,ذاك كان كيفتشي هين يغير گبظلي أسبوع,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
No one can help me.",,ما يگد حد يعاوني,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ما يگد حد يعاوني",,No one can help me.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Your plan sounds great.",,اتبان خطتك زينة,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
اتبان خطتك زينة",,Your plan sounds great.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
They have many students.",,عندهم ياسر من التلاميذ,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
عندهم ياسر من التلاميذ",,They have many students.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,عندهم ياسر ,عندهم ياسر من التلاميذ,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Which goes faster, a ship or a train?",,ايهم اسرع، الباخره و الل القطار,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ايهم اسرع، الباخره و الل القطار",,"Which goes faster, a ship or a train?",dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,ايهم اسرع، البا,ايهم اسرع، الباخره و الل القطار,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Love and hate are opposite emotions.",,البغي و الكره روايتين متعاكسات,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
البغي و الكره روايتين متعاكسات",,Love and hate are opposite emotions.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,البغي و الكره ر,البغي و الكره روايتين متعاكسات,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
What do you mean by that?",,ذ الواعد بيه شنه؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ذ الواعد بيه شنه؟",,What do you mean by that?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
My mom doesn't speak English very well.",,والدتى ماه كلامة بالانجليزية,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
والدتى ماه كلامة بالانجليزية",,My mom doesn't speak English very well.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,والدتى ماه كلا,والدتى ماه كلامة بالانجليزية,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Please forgive me.",,حگل اسمحلي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
حگل اسمحلي",,Please forgive me.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Would you mind shutting the door?",,تگد تگفل الباب,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
تگد تگفل الباب",,Would you mind shutting the door?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Amadu was very happy.",,آمادو كان فرحان حته,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
آمادو كان فرحان حته",,Amadu was very happy.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
You really don't want to know.",,ما عينك فتعرف,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ما عينك فتعرف",,You really don't want to know.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Mom is older than Dad.",,والدتي أكبر من والدي فالسن,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
والدتي أكبر من والدي فالسن",,Mom is older than Dad.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,والدتي أكبر م,والدتي أكبر من والدي فالسن,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
You're always anticipating trouble.",,دائما تتفايل ان يخلگ شي شين,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
دائما تتفايل ان يخلگ شي شين",,You're always anticipating trouble.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,دائما تتفايل ,دائما تتفايل ان يخلگ شي شين,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
People sometimes compare death to sleep.",,الرگاد ماه متباعد مع الموت,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
الرگاد ماه متباعد مع الموت",,People sometimes compare death to sleep.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,الرگاد ماه مت,الرگاد ماه متباعد مع الموت,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Englishmen are, on the whole, conservative.",,النصارى اكثريتهم محافظين,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
النصارى اكثريتهم محافظين",,"Englishmen are, on the whole, conservative.",dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,النصارى اكثر,النصارى اكثريتهم محافظين,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Watch out! There's a big hole there.",,عسك ، فم فيه حفره كبيره,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
عسك ، فم فيه حفره كبيره",,Watch out! There's a big hole there.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,عسك ، فم في,عسك ، فم فيه حفره كبيره,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
I can play the piano after a fashion.",,بالسيف نعرف خبيط بيانو,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
بالسيف نعرف خبيط بيانو",,I can play the piano after a fashion.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,بالسيف نعرف,بالسيف نعرف خبيط بيانو,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
You are too inquisitive about other people's affairs.",,انت اتسول عن شي ما يعنيك,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
انت اتسول عن شي ما يعنيك",,You are too inquisitive about other people's affairs.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,انت اتسول عن,انت اتسول عن شي ما يعنيك,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
What is your mother tongue?",,لغتك الأم شنه؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
لغتك الأم شنه؟",,What is your mother tongue?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Playing camel race, he got injured.",,انعطب لين كان يلعب لز البل,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
انعطب لين كان يلعب لز البل",,"Playing camel race, he got injured.",dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,انعطب لين كان,انعطب لين كان يلعب لز البل,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Can you see the difference?",,فطنت ال ذلي طرا؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
فطنت ال ذلي طرا؟",,Can you see the difference?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
I'm going to stay just a little bit longer.",,اندور نمشي بعد اشوي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
اندور نمشي بعد اشوي",,I'm going to stay just a little bit longer.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
A truck hit the dog.",,الكميون خبط الكلب,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
الكميون خبط الكلب",,A truck hit the dog.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
It's not a zebra; it's a monkey.",,هو مو الوحش هو ليليه,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
هو مو الوحش هو ليليه",,It's not a zebra; it's a monkey.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Can you keep a secret?",,انگد ان امن فيك؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
انگد ان امن فيك؟",,Can you keep a secret?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
The station is not far from here.",,الوقفه ماهي بعيده حته من هون,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
الوقفه ماهي بعيده حته من هون",,The station is not far from here.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,الوقفه ماهي بع,الوقفه ماهي بعيده حته من هون,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Please send it to me by fax.",,مشيهلي على الفاكس حگل,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
مشيهلي على الفاكس حگل",,Please send it to me by fax.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,مشيهلي على,مشيهلي على الفاكس حگل,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
I love that chair.",,نبغي ذا المقعد,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
نبغي ذا المقعد",,I love that chair.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
I'm starving!",,انا كاتلني جوع,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
انا كاتلني جوع",,I'm starving!,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Mohamed looks very young.",,محمد كيفتشي مزال سغير,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
محمد كيفتشي مزال سغير",,Mohamed looks very young.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,محمد كيفتش,محمد كيفتشي مزال سغير,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
You look happy today.",,اتبان فرحان اليوم,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
اتبان فرحان اليوم",,You look happy today.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
She can drive a car.",,تگد تحرك الوتة,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
تگد تحرك الوتة",,She can drive a car.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
And everyone has the ability to contribute.",,كل حد يگد يشارك,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
كل حد يگد يشارك",,And everyone has the ability to contribute.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
I can't understand his feelings.",,ما وضاحلي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ما وضاحلي",,I can't understand his feelings.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
I know those girls.",,نعرف ذوك الطافلات,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
نعرف ذوك الطافلات",,I know those girls.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Ask Ahmed if he's going out this evening.",,سول احمد يكان لاه يوخظ ذي الدحمساية,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
سول احمد يكان لاه يوخظ ذي الدحمساية",,Ask Ahmed if he's going out this evening.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,سول احمد يكان لاه,سول احمد يكان لاه يوخظ ذي الدحمساية,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
The answer is actually quite simple.",,فالحقيقة الجواب بسيط,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
فالحقيقة الجواب بسيط",,The answer is actually quite simple.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
The rain changed to snow.",,السحاب اتحولت لاگلاص,dah,translation_en_to_hassania
