id,annotations,created_at, Annotation results,text,updated_at
521,1,2024-06-10T17:54:10.214203Z,Positive,ذاك هو ال فيه الخير,2024-06-10T17:54:10.214203Z
522,1,2024-06-10T17:54:13.753192Z,Positive,الحمدلله كرامة,2024-06-10T17:54:13.753192Z
523,1,2024-06-10T17:54:17.523447Z,Negative,فظمة بعد عالم  مولان,2024-06-10T17:54:17.523447Z
524,1,2024-06-10T17:54:22.725052Z,Negative,الله يرحم ايامك يا بطل,2024-06-10T17:54:22.725052Z
525,1,2024-06-10T17:59:36.137523Z,Positive,ذاك صالح,2024-06-10T17:59:36.137523Z
526,1,2024-06-10T17:59:45.647155Z,Neutral,بلا سببه,2024-06-10T17:59:45.647155Z
527,1,2024-06-10T17:59:50.633690Z,Positive,أحسن قرار,2024-06-10T17:59:50.633690Z
528,1,2024-06-10T18:00:02.225136Z,Neutral,ممارسة آش ؟,2024-06-10T18:00:02.225136Z
529,1,2024-06-10T18:00:06.259451Z,Positive,ذاك بعد صالح,2024-06-10T18:00:06.259451Z
530,1,2024-06-10T18:00:11.041009Z,Neutral,تفرغ زينه دوله اوحده,2024-06-10T18:00:11.041009Z
531,1,2024-06-10T18:00:15.998143Z,Negative,هذا هو أدنى قرار رأيته,2024-06-10T18:00:15.998143Z
532,1,2024-06-10T18:00:32.898927Z,Positive, ذاك صالح,2024-06-10T18:00:32.898927Z
533,1,2024-06-10T18:00:39.554827Z,Neutral,تفرغ زينه اثره شنهي؟,2024-06-10T18:00:39.554827Z
534,1,2024-06-10T18:00:45.079294Z,Negative,ذاك ما ايصح,2024-06-10T18:00:45.079294Z
535,1,2024-06-10T18:00:52.356869Z,Neutral,أطْفيل جه,2024-06-10T18:00:52.356869Z
536,1,2024-06-10T18:00:59.929087Z,Neutral,دير بينه امعاه جدار وتم رصف شورها,2024-06-10T18:00:59.929087Z
537,1,2024-06-10T18:01:07.199936Z,Neutral,ماهو السبب,2024-06-10T18:01:07.199936Z
538,1,2024-06-10T18:01:11.445533Z,Negative,هذا ظلم,2024-06-10T18:01:11.445533Z
539,1,2024-06-10T18:01:16.312747Z,Negative,هاذ ظلم نعوذ بالله,2024-06-10T18:01:16.312747Z
540,1,2024-06-10T18:01:19.795028Z,Positive,قرار صائب,2024-06-10T18:01:19.795028Z
541,1,2024-06-10T18:01:23.526402Z,Neutral,شنهو السبب,2024-06-10T18:01:23.526402Z
542,1,2024-06-10T18:01:40.071909Z,Positive,والله يا واجع,2024-06-10T18:01:40.071909Z
543,1,2024-06-10T18:01:53.773277Z,Neutral,ذا شنهو؟,2024-06-10T18:01:53.782822Z
544,1,2024-06-10T18:02:09.564289Z,Negative,اخلين كاع لا ظرك,2024-06-10T18:02:09.564289Z
545,1,2024-06-10T18:02:20.620386Z,Positive,ذ هو ال فيه الخير,2024-06-10T18:02:20.620386Z
546,1,2024-06-10T18:05:53.170381Z,Negative,فظمه امكيست تفرغ زينه اشفيها من القيمة,2024-06-10T18:05:53.170381Z
547,1,2024-06-10T18:05:58.203517Z,Negative,يفظم تفرغ زينه اثره شنه,2024-06-10T18:05:58.203517Z
548,1,2024-06-10T18:06:03.108011Z,Neutral,ماسمعتك,2024-06-10T18:06:03.108011Z
549,1,2024-06-10T18:06:07.526649Z,Neutral,هي تفرغ زينه أثره عادت دوله اوحده ابقرراته دون الآخرين عجيب,2024-06-10T18:06:07.526649Z
550,1,2024-06-10T18:06:18.345936Z,Neutral,لاش هوم ذو الناس لمعدلين عنهم شنهوم، تفرغ زينه هره ماهي تابعالهم والل هوم شاكين عن تفرغ زينه الجنه,2024-06-10T18:06:18.345936Z
551,1,2024-06-10T18:06:22.166829Z,Negative,هذا ألا الفيافي المسموع بيه,2024-06-10T18:06:22.166829Z
552,1,2024-06-10T18:06:32.042179Z,Positive,مكروح بعد,2024-06-10T18:06:35.697914Z
553,1,2024-06-10T18:06:51.229936Z,Neutral,كيشي عادوا لاهي يگطعوله البيات ذي متين شوي,2024-06-10T18:06:51.229936Z
554,1,2024-06-10T18:06:57.482204Z,Negative,بڭيت انت,2024-06-10T18:06:57.482204Z
555,1,2024-06-10T18:07:03.744064Z,Negative,مانكم واحلين فشي,2024-06-10T18:07:03.744064Z
556,1,2024-06-10T18:07:12.688821Z,Neutral,ذاك لا تلحڭ  شاكيه منهم شوبيه,2024-06-10T18:07:12.688821Z
557,1,2024-06-10T18:07:17.517273Z,Neutral,اهل عرفات يالل يعدلوهالهم,2024-06-10T18:07:17.517273Z
558,1,2024-06-10T18:07:34.536923Z,Negative,أنا بعد مانبقيهم يعدلو تكص، احسن السيارات و المركبات الجميلة اما توك توك هذا خزو ولاهو شي,2024-06-10T18:07:34.536923Z
559,1,2024-06-10T18:07:44.916268Z,Negative,نحن بعد اصلا ماهي إمخصرتن هاذي بروت هي ماهي تيك توك هي بروت نحن لحياء الشعبيه نفتخر كل الفخر لي إمشات عن تيك توك والل بروت  ماهي باكيان إفلخلاڭ مانلا,2024-06-10T18:07:44.916268Z
560,1,2024-06-10T18:07:51.096693Z,Neutral,وذ أنت من ڭالولك,2024-06-10T18:07:51.096693Z
561,1,2024-06-10T18:08:02.022947Z,Neutral,تفرق زينة عادت لا فيوتات  هههه,2024-06-10T18:08:02.022947Z
562,1,2024-06-10T18:08:12.975693Z,Positive,مخلاه مهمة لا تفرغ زينة,2024-06-10T18:08:12.975693Z
563,1,2024-06-10T18:08:18.503517Z,Negative,يخوتي هاذا ياسرمن الظلم والستحقارعاد,2024-06-10T18:08:18.503517Z
564,1,2024-06-10T18:08:26.321203Z,Neutral,ذالى لاهي ينقلو فم كاع شنه اثرو,2024-06-10T18:08:26.321203Z
565,1,2024-06-10T18:08:34.268938Z,Negative,مخلاه التوكتوك ماه حضري ولاه شي يال يعود في الواجهة,2024-06-10T18:08:34.269945Z
566,1,2024-06-10T18:08:39.912646Z,Neutral,شلهم به هي تفرغ شينة,2024-06-10T18:08:39.912646Z
567,1,2024-06-10T18:08:46.951703Z,Neutral, دور يمنعو آروكيج منه,2024-06-10T18:08:46.951703Z
568,1,2024-06-10T18:08:52.673451Z,Neutral,هومة امالهم,2024-06-10T18:08:52.673451Z
569,1,2024-06-10T18:08:58.216015Z,Neutral,ذ معقول ,2024-06-10T18:08:58.216015Z
570,1,2024-06-10T18:09:10.472623Z,Negative,هوم تيك توك لفيه مايحترموها شاكين عنهم رالات,2024-06-10T18:09:10.472623Z
571,1,2024-06-10T18:09:17.326601Z,Negative,والله مايعود عندي توك توك مادخلة ذ أمال الفيافي يغير حد ماه باقي يركب لايركب,2024-06-10T18:09:17.326601Z
572,1,2024-06-10T18:09:22.276187Z,Positive,ذاک صالح اهل تفرغ زینه ما یالتهم یعودو فاصلین فتیک توک,2024-06-10T18:09:22.276187Z
573,1,2024-06-10T18:09:28.104366Z,Neutral,هاذي خَالتي,2024-06-10T18:09:28.104366Z
574,1,2024-06-10T18:09:35.044687Z,Neutral,تفرغ زينه مافيه حد راكب تكتك,2024-06-10T18:09:35.044687Z
575,1,2024-06-10T18:09:43.754699Z,Negative,ماتلين ڭابلينها ,2024-06-10T18:09:43.754699Z
576,1,2024-06-10T18:09:47.630085Z,Neutral,علاش ذاك,2024-06-10T18:09:47.630085Z
577,1,2024-06-10T18:09:53.072460Z,Negative,ذ نوع من الخزو كاع طاري,2024-06-10T18:09:53.072460Z
578,1,2024-06-10T18:10:02.814726Z,Negative,حته الترحيل أملي مايدخلو حڭ حڭ,2024-06-10T18:10:02.814726Z
579,1,2024-06-10T18:10:15.830724Z,Negative,هوم اهل تفرغ زينه ما يوكلو معناه لوتات ماعينهم فيهم,2024-06-10T18:10:15.830724Z
580,1,2024-06-10T18:10:22.153160Z,Positive,عندهم الحق تفرغ زينه منطقة راقية وبلد الصراگ خايفين ينجرحو وتاتهم,2024-06-10T18:10:22.153160Z
581,1,2024-06-10T18:10:25.999980Z,Negative,ينسخ الحكومه,2024-06-10T18:10:25.999980Z
582,1,2024-06-10T18:10:33.368450Z,Neutral,لا اتواسونه ذاك,2024-06-10T18:10:33.368450Z
583,1,2024-06-10T18:10:41.145569Z,Negative, هاذ ماهو قرار او لاهو شي,2024-06-10T18:10:41.145569Z
584,1,2024-06-10T18:10:52.377737Z,Neutral,معناه عن حد ادخل تفرغ زينة ماتل لاهي يجبر تكسيات وهي خلقه الحسنة ماهي فيه,2024-06-10T18:10:52.377737Z
585,1,2024-06-10T18:10:58.556571Z,Neutral, ماهو حڭ ڭالو عنه,2024-06-10T18:10:58.556571Z
586,1,2024-06-10T18:11:04.479951Z,Negative,هي تفرغ زينه اثره عادت رمز املي ,2024-06-10T18:11:04.479951Z
587,1,2024-06-10T18:11:09.009813Z,Neutral,هي تفرغ زينه في أي كرتية من أنواكشوط,2024-06-10T18:11:09.009813Z
588,1,2024-06-10T18:11:14.451275Z,Neutral,واجع المشكيل شنه؟,2024-06-10T18:11:14.451275Z
589,1,2024-06-10T18:11:20.687429Z,Negative,اصل يسوا,2024-06-10T18:11:20.687429Z
590,1,2024-06-10T18:11:29.158898Z,Positive,نحن اهل تفرغ زينه مانركب ماه تكتك,2024-06-10T18:11:29.158898Z
591,1,2024-06-10T18:11:42.776315Z,Neutral,تفرغ زينة لاهي يعزلوهة اوحده,2024-06-10T18:11:42.776315Z
592,1,2024-06-10T18:11:53.641135Z,Neutral,والعائلات إل قوت يومهم من ذيك تكتوكات شنهو مصيرهم,2024-06-10T18:11:53.641135Z
593,1,2024-06-10T18:11:57.797791Z,Neutral,امالهم,2024-06-10T18:11:57.797791Z
594,1,2024-06-10T18:12:03.188494Z,Positive, اصل ماهي واجع عدهم الحڭ يويشهم الناس جعزوهم,2024-06-10T18:12:03.189497Z
595,1,2024-06-10T18:12:10.261577Z,Neutral,تفرغ زينه كل حد يعرف خبارها,2024-06-10T18:12:10.261577Z
596,1,2024-06-10T18:12:17.990859Z,Negative,وذاك انو لاش,2024-06-10T18:12:17.990859Z
597,1,2024-06-10T18:12:24.860026Z,Negative,هذا قرار جائر، فحكومة ولد الغزواني واضح اعل أن الفقراء والضعفاء ماهم مهمين عندها وأن أهم عندهم منها ڭلت  أزعاج المفسدين واللصوص في تفرغ زينة,2024-06-10T18:12:24.860026Z
598,1,2024-06-10T18:12:28.832597Z,Negative,الفيافي حڭ,2024-06-10T18:12:28.832597Z
599,1,2024-06-10T18:12:40.827257Z,Negative,تفرغ زينه فيه لا الناس لي جاي من المغرب ولي جاي من الجزائر ام الناس لخراهل موريتانيا حڭيڭيين,2024-06-10T18:12:40.827257Z
600,1,2024-06-10T18:12:47.681762Z,Positive,تكتوك زوين,2024-06-10T18:12:47.681762Z
601,1,2024-06-10T18:12:58.765267Z,Neutral,ياليتهم يمنعوها من السير في جميع أنحاء العاصمة,2024-06-10T18:12:58.765267Z
602,1,2024-06-10T18:13:13.327622Z,Neutral,بيهم عنو إيشير مزال لين يكبر ماعندو مشكلة,2024-06-10T18:13:16.948457Z
603,1,2024-06-10T18:13:22.363389Z,Negative,لا ظلم وگلت الأنسانيه,2024-06-10T18:13:22.363389Z
604,1,2024-06-10T18:13:26.182004Z,Negative,ما يصح,2024-06-10T18:13:26.182004Z
605,1,2024-06-10T18:13:38.658442Z,Neutral,جمهورية تفرغ زينة هذي بعد عالم، وانتوم اصكوك اشايفين اعليه,2024-06-10T18:13:38.658442Z
606,1,2024-06-10T18:13:48.026851Z,Negative,البارح بعد يسدرو فيه اتعكاب امعان  قطعا الدول قرراته مامهتم حد بيهم,2024-06-10T18:13:48.026851Z
607,1,2024-06-10T18:14:01.499912Z,Neutral,يالل الدوله املي تمنع الناس اشوين من تسكن تفرغ زينه اتصوعهم منه الين عادت تفرغ زينه بذي الدرجه من العظامه عندهم,2024-06-10T18:14:01.499912Z
608,1,2024-06-10T18:14:05.936244Z,Positive,ذاك زين,2024-06-10T18:14:05.936244Z
609,1,2024-06-10T18:14:16.787907Z,Neutral,هو توك توك أهرو ش معدل إل موحرم اعليه تفرغ زينه شنهو سبب أل ود توقيف توك توك هذا صعيب جدا,2024-06-10T18:14:16.787907Z
610,1,2024-06-10T18:14:28.084182Z,Neutral,كل انهار عندهم مرده,2024-06-10T18:14:28.084182Z
611,1,2024-06-10T18:14:38.800161Z,Negative,ذاك أخبر فيه مولان هو أل يطي شي أم تفرغ زينه ماططي شي أوماخسر املي شي سمعت,2024-06-10T18:14:38.800161Z
612,1,2024-06-10T18:14:45.476837Z,Negative,هي الورقه اثره للزوجة,2024-06-10T18:14:45.476837Z
613,1,2024-06-10T18:14:51.856365Z,Neutral,ماهو ذنبو الزوجه,2024-06-10T18:14:51.856365Z
614,1,2024-06-10T18:14:59.181130Z,Neutral,تلعب بدميتها,2024-06-10T18:14:59.181130Z
615,1,2024-06-10T18:15:04.007667Z,Neutral,وما ذنب إعرابية,2024-06-10T18:15:04.007667Z
616,1,2024-06-10T18:15:09.666532Z,Negative,انت قالك شكراف,2024-06-10T18:15:09.666532Z
617,1,2024-06-10T18:15:13.447350Z,Neutral,ما ذنبها,2024-06-10T18:15:13.447350Z
618,1,2024-06-10T18:15:18.325684Z,Positive,الله يحفظك وينصرك,2024-06-10T18:15:18.325684Z
619,1,2024-06-10T18:15:22.284673Z,Positive,وخيرت نعم رجل,2024-06-10T18:15:22.284673Z
620,1,2024-06-10T18:15:30.991915Z,Positive,ذاك ماه ابصيفتو ذيك حد يسمع الفيديو,2024-06-10T18:15:30.991915Z
621,1,2024-06-10T18:15:38.094778Z,Positive,هاذو التعاليق يوجعو القلب,2024-06-10T18:15:38.094778Z
622,1,2024-06-10T18:15:42.538629Z,Neutral,سبت شرتات,2024-06-10T18:15:42.538629Z
623,1,2024-06-10T18:15:48.435274Z,Negative,من عنك ال خلله,2024-06-10T18:15:48.435274Z
624,1,2024-06-10T18:15:54.033817Z,Negative,يرحمك يالموجب,2024-06-10T18:15:54.033817Z
625,1,2024-06-10T18:15:59.134391Z,Neutral,ذ شنه؟,2024-06-10T18:15:59.134391Z
626,1,2024-06-10T18:16:09.712310Z,Negative,إذا صح هذا فهذا جهل,2024-06-10T18:16:09.712310Z
627,1,2024-06-10T18:16:13.763362Z,Neutral,وما ذنبُ اعرابيةٍ ؟,2024-06-10T18:16:13.763362Z
628,1,2024-06-10T18:16:17.830059Z,Negative,خروجو حگ,2024-06-10T18:16:17.830059Z
629,1,2024-06-10T18:16:23.779614Z,Negative,ذاك الا كان إدور جحة توف آثرو هههه,2024-06-10T18:16:23.779614Z
630,1,2024-06-10T18:16:27.679080Z,Negative,ذاك اصه عاد أجنون ,2024-06-10T18:16:27.679080Z
631,1,2024-06-10T18:16:36.318646Z,Negative,ماعاطيك حد بعد الفظة,2024-06-10T18:16:36.318646Z
632,1,2024-06-10T18:16:42.158431Z,Neutral,إنتومه ذ كامل ما ظبتو منو ماهو الطلاق,2024-06-10T18:16:42.158431Z
633,1,2024-06-10T18:16:47.585528Z,Negative,نوح برد علين,2024-06-10T18:16:47.585528Z
634,1,2024-06-10T18:16:53.243058Z,Neutral,امنادم حامي,2024-06-10T18:16:53.244057Z
635,1,2024-06-10T18:16:59.675578Z,Neutral,أبغض الحلال الطلاق,2024-06-10T18:16:59.675578Z
636,1,2024-06-10T18:17:07.603768Z,Negative,المجبن كل شي ادجي بيه,2024-06-10T18:17:07.603768Z
637,1,2024-06-10T18:17:12.567088Z,Neutral,بهلول,2024-06-10T18:17:12.567088Z
638,1,2024-06-10T18:17:18.551448Z,Negative,هو ذ امنادم طالعالو المجبنه ولل,2024-06-10T18:17:18.551448Z
639,1,2024-06-10T18:17:23.348899Z,Neutral,ذنبها شنه امسيكينه,2024-06-10T18:17:23.348899Z
640,1,2024-06-10T18:17:29.697756Z,Neutral,هذه الزوجة اثرها مشكلتها شنهي؟,2024-06-10T18:17:29.697756Z
641,1,2024-06-10T18:17:35.995703Z,Negative,مسيكين ادخل من منصات الفيافي ظيگة,2024-06-10T18:17:35.995703Z
642,1,2024-06-10T18:17:46.439309Z,Neutral,المصدر خالتك بعد صلاة المغرب,2024-06-10T18:17:46.439309Z
643,1,2024-06-10T18:17:58.448595Z,Neutral,الحمة,2024-06-10T18:17:58.448595Z
644,1,2024-06-10T18:18:03.922818Z,Negative,الدول ف ورطه,2024-06-10T18:18:03.922818Z
645,1,2024-06-10T18:18:25.560089Z,Negative,تكذب الكذبة و تصدقها,2024-06-10T18:18:25.560089Z
646,1,2024-06-10T18:18:33.050334Z,Negative,لا يحب المدح,2024-06-10T18:18:33.050334Z
647,1,2024-06-10T18:18:39.860190Z,Negative,ذي الرواية اشلك بيها,2024-06-10T18:18:39.860190Z
648,1,2024-06-10T18:18:46.731808Z,Neutral,هي ذي القاضيه حقيقيه,2024-06-10T18:18:46.731808Z
649,1,2024-06-10T18:18:53.981372Z,Neutral,ادير نفسك في موقف ذ كيفتو,2024-06-10T18:18:53.981372Z
650,1,2024-06-10T18:18:57.909652Z,Neutral,المصدر سوق كبتال,2024-06-10T18:18:57.909652Z
651,1,2024-06-10T18:19:13.518873Z,Neutral,متعود الإضربات ال كانو يضربوه ببدايتو الفنية,2024-06-10T18:19:13.518873Z
652,1,2024-06-10T18:19:05.782546Z,Neutral,عم يمزح معو,2024-06-10T18:19:05.782546Z
653,1,2024-06-10T18:19:18.872888Z,Negative,حتى أيام زمان الأفلام فيها غيره,2024-06-10T18:19:18.872888Z
654,1,2024-06-10T18:19:22.595037Z,Negative,أصل أسوَ,2024-06-10T18:19:22.595037Z
655,1,2024-06-10T18:19:30.562429Z,Neutral,لمردة شنهي؟,2024-06-10T18:19:30.562429Z
656,1,2024-06-10T18:19:38.877767Z,Neutral,أراهوم انطار فيهم,2024-06-10T18:19:38.877767Z
657,1,2024-06-10T18:19:42.402566Z,Neutral,ألي امنين,2024-06-10T18:19:42.402566Z
658,1,2024-06-10T18:19:46.660667Z,Negative,هاذ مايتواسه,2024-06-10T18:19:46.661106Z
659,1,2024-06-10T18:19:55.681037Z,Neutral,ڭبظ طيارة الرئيس واكفه ماهي معدلة شي,2024-06-10T18:19:55.681037Z
660,1,2024-06-10T18:20:02.055781Z,Negative,ماعندهم شي ڭايلين، الشركة تعبانه عنده كثير من النواقص فكل شي,2024-06-10T18:20:02.055781Z
661,1,2024-06-10T18:20:11.322397Z,Negative,ذوك إلين اوفات مسرحية الانتخابات الغاية منهم  اوفات,2024-06-10T18:20:11.322397Z
662,1,2024-06-10T18:20:20.504656Z,Negative,الا مولانا يحفظن من باسها الطائرة فاصلة في يزڭنن بيها,2024-06-10T18:20:20.504656Z
663,1,2024-06-10T18:20:26.052441Z,Neutral,لعلها اسباب فني,2024-06-10T18:20:26.052441Z
664,1,2024-06-10T18:20:37.267119Z,Negative,اخيرمنه سونف الا حد ما يخسراعل راصو اشبهلو,2024-06-10T18:20:37.267119Z
665,1,2024-06-10T18:20:44.781722Z,Negative,ما راو بصاجة اوتوه,2024-06-10T18:20:44.781722Z
666,1,2024-06-10T18:20:50.278797Z,Neutral,ماهي صايب,2024-06-10T18:20:50.278797Z
667,1,2024-06-10T18:20:54.415639Z,Negative,سبب الفشال اوتوف,2024-06-10T18:20:54.415639Z
668,1,2024-06-10T18:21:01.330226Z,Neutral,السبب عرسان ماشين ألهيه,2024-06-10T18:21:01.330226Z
669,1,2024-06-10T18:21:08.687045Z,Negative,الاسباب هي اركوميه,2024-06-10T18:21:08.687045Z
670,1,2024-06-10T18:21:12.487599Z,Negative,ألا خاسرة,2024-06-10T18:21:12.487599Z
671,1,2024-06-10T18:21:18.572061Z,Negative,ذي ماهي شريك أولاه شي ذي ماه طايره أملي,2024-06-10T18:21:18.572061Z
672,1,2024-06-10T18:21:23.379261Z,Negative,طايراته خاسرين وشبه كلتهم والشركة ماه مسؤولة او لا تخدم الوطن اشبه يكفلوه يكفين من لفظاحة,2024-06-10T18:21:23.379261Z
673,1,2024-06-10T18:21:26.973889Z,Positive,الله يبارك فيك,2024-06-10T18:21:26.973889Z
674,1,2024-06-10T18:21:33.614514Z,Positive,اصل الصحة ذ ما شاء الله يبعث فينا نحن الطلاب لخرين الأمل إن شاء الله,2024-06-10T18:21:33.614514Z
675,1,2024-06-10T18:21:37.525208Z,Positive,الله يطول في عمرك ويرزقنا ويرزقك يارب,2024-06-10T18:21:37.525208Z
676,1,2024-06-10T18:21:41.586930Z,Positive,الله يكون أف عونك ومبروك نجاح البنية,2024-06-10T18:21:41.586930Z
677,1,2024-06-10T18:21:46.325610Z,Positive,الله يطول عمرك,2024-06-10T18:21:46.325610Z
678,1,2024-06-10T18:21:50.404639Z,Positive,الله يحفظك ويكثر امثالك و يفتح اعليك ابواب رزقه يارب,2024-06-10T18:21:50.404639Z
679,1,2024-06-10T18:21:55.251554Z,Neutral,ينفعكم باش,2024-06-10T18:21:55.251554Z
680,1,2024-06-10T18:21:59.253667Z,Positive,الله يطول عمر ويجازيه,2024-06-10T18:21:59.253667Z
681,1,2024-06-10T18:22:06.438636Z,Positive,تستهال كل خير,2024-06-10T18:22:06.438636Z
682,1,2024-06-10T18:22:10.259982Z,Positive,الحمد لله والشكر اصل الصحة,2024-06-10T18:22:10.259982Z
683,1,2024-06-10T18:22:14.436375Z,Positive,بارك الله فيكم,2024-06-10T18:22:14.436375Z
684,1,2024-06-10T18:22:18.204545Z,Positive,اصل الصحة حتت بعد,2024-06-10T18:22:18.204545Z
685,1,2024-06-10T18:22:31.081106Z,Positive,مبروك مبروك مبروك والصحه البارده,2024-06-10T18:22:31.081106Z
686,1,2024-06-10T18:22:35.138931Z,Positive,الله يجازيه بالخير و ينزل فيها البركة,2024-06-10T18:22:35.138931Z
687,1,2024-06-10T18:22:38.889343Z,Positive,يوكي أل ول بوي,2024-06-10T18:22:38.889343Z
688,1,2024-06-10T18:22:43.864050Z,Positive,إنسان جميل,2024-06-10T18:22:43.864050Z
689,1,2024-06-10T18:22:47.734492Z,Positive,ذوك هوم الرجاله,2024-06-10T18:22:51.716776Z
690,1,2024-06-10T18:22:57.214814Z,Positive,نعم الأب سرتك لراجل أنت بع الله يبارك فيك و في ولادك,2024-06-10T18:22:57.214814Z
691,1,2024-06-10T18:23:01.268100Z,Positive,واصل الصحة,2024-06-10T18:23:01.268100Z
692,1,2024-06-10T18:23:06.327039Z,Positive,بارك الله فيك,2024-06-10T18:23:06.327039Z
693,1,2024-06-10T18:23:09.850946Z,Positive,اكثر أمثالك,2024-06-10T18:23:09.850946Z
694,1,2024-06-10T18:23:13.704850Z,Positive,الله يبارك فيهم ويخليك لهم,2024-06-10T18:23:13.704850Z
695,1,2024-06-10T18:23:18.850544Z,Positive,الله يحفظك و طول بعمرك,2024-06-10T18:23:18.850544Z
696,1,2024-06-10T18:23:24.018303Z,Positive,اصل الصحة  بارك الله فيكم,2024-06-10T18:23:24.018303Z
697,1,2024-06-10T18:23:28.034010Z,Positive,جزاك الله خيرا  عنهم,2024-06-10T18:23:28.034010Z
698,1,2024-06-10T18:23:32.017407Z,Positive,اصل الصحة يارب  دومه الفرح  عليك,2024-06-10T18:23:32.017407Z
699,1,2024-06-10T18:23:36.351390Z,Positive,رجل بمعى  الكلمة,2024-06-10T18:23:36.351390Z
700,1,2024-06-10T18:23:42.395132Z,Positive,الله يوفقن ويوفقك,2024-06-10T18:23:42.395132Z
701,1,2024-06-10T18:23:46.410317Z,Positive,الحمد الله ألف مبروك والصحة حتتت الله ايزيد ويبارك إن شاء الله,2024-06-10T18:23:46.410317Z
702,1,2024-06-10T18:24:02.783508Z,Positive,الف الف مبروك جزاه الله خيرا على التربية,2024-06-10T18:24:02.783508Z
703,1,2024-06-10T18:24:07.031829Z,Positive,معدل ذ,2024-06-10T18:24:07.031829Z
704,1,2024-06-10T18:24:42.662503Z,Positive,جزاك الله خيرا الله يخليهالك يارب,2024-06-10T18:24:42.662503Z
705,1,2024-06-10T18:24:47.555017Z,Positive,اينزل فيها البركة,2024-06-10T18:24:47.555017Z
706,1,2024-06-10T18:24:52.354355Z,Positive,يوكي حت,2024-06-10T18:24:52.354355Z
707,1,2024-06-10T18:24:56.502064Z,Positive,الله إجازيك بالخير وعين وعينك,2024-06-10T18:24:56.503062Z
708,1,2024-06-10T18:25:00.571401Z,Positive,يوكي حتتت اصل الصحة,2024-06-10T18:25:00.571401Z
709,1,2024-06-10T18:25:04.433415Z,Positive,ألف ميروووووورك,2024-06-10T18:25:04.433415Z
710,1,2024-06-10T18:25:09.859643Z,Positive,الله ايخليهلهم,2024-06-10T18:25:09.859643Z
711,1,2024-06-10T18:25:15.534699Z,Positive,هذي قصه يقتدي بيها و أب تفتخر به موريتانيا,2024-06-10T18:25:15.534699Z
712,1,2024-06-10T18:25:19.415979Z,Positive,الله ايجازيك بالإحسان,2024-06-10T18:25:19.415979Z
713,1,2024-06-10T18:25:23.108163Z,Positive,يوكي يخي,2024-06-10T18:25:23.108163Z
714,1,2024-06-10T18:25:33.918253Z,Positive,ش الا التوكل والحمد الحمدلله ماتوفه,2024-06-10T18:25:33.918253Z
715,1,2024-06-10T18:25:37.626914Z,Positive,الحمدلله الله إبارك لك فيهم,2024-06-10T18:25:37.626914Z
716,1,2024-06-10T18:25:41.582950Z,Positive,الله يكثر امثالك ويحفظك,2024-06-10T18:25:41.582950Z
717,1,2024-06-10T18:25:46.386896Z,Positive,الله اكثر امثالك,2024-06-10T18:25:46.386896Z
718,1,2024-06-10T18:25:50.999681Z,Positive,أسكي الزعيم,2024-06-10T18:25:50.999681Z
719,1,2024-06-10T18:25:56.072952Z,Positive,الناس النظيفه الله امد ف عمرك ويعطيك الصحة وخاليهالك,2024-06-10T18:25:56.072952Z
720,1,2024-06-10T18:25:59.735920Z,Positive,الحمد الله علي كل حال,2024-06-10T18:25:59.735920Z
721,1,2024-06-10T18:26:09.302801Z,Negative,وامنات البطارين ولخيام لكبار كالو هوم كاسيات عاريات مائلات مميلات على اسناب شات و تيكتوك,2024-06-10T18:26:09.302801Z
722,1,2024-06-10T18:26:13.785554Z,Positive,ولله  ال صحة  حااات رب  ارحمهما كما ربياني صغير,2024-06-10T18:26:13.785554Z
723,1,2024-06-10T18:26:18.012410Z,Positive,الحمد لله نعم لأب حفظ الله كل الأباء والأمهات,2024-06-10T18:26:18.012410Z
724,1,2024-06-10T18:26:24.620815Z,Positive,والله ال تحية اكبيرة حتتت واجازيك ابلحسان اعل تربيتك الطيبة,2024-06-10T18:26:24.620815Z
725,1,2024-06-10T18:26:28.454258Z,Positive,اصل صحه,2024-06-10T18:26:28.454258Z
726,1,2024-06-10T18:26:33.103175Z,Positive,حفظك الله وأكثر من أمثالك وألف مبروك وأصل الصحة,2024-06-10T18:26:33.103175Z
727,1,2024-06-10T18:26:37.725938Z,Positive,هذ هومعنى الرجوله,2024-06-10T18:26:37.725938Z
728,1,2024-06-10T18:26:41.775975Z,Positive,والله صح ونعم اب,2024-06-10T18:26:41.775975Z
729,1,2024-06-10T18:26:53.537992Z,Positive,الحمد الله جزاك الله خير,2024-06-10T18:26:53.537992Z
730,1,2024-06-10T18:26:59.317290Z,Positive,ألله إكون افعونوه,2024-06-10T18:26:59.317290Z
731,1,2024-06-10T18:27:04.017385Z,Positive,نعم لاب ويجازيك بالخير,2024-06-10T18:27:04.017385Z
732,1,2024-06-10T18:27:08.069511Z,Positive,عاط شي الامولان,2024-06-10T18:27:08.069511Z
733,1,2024-06-10T18:27:16.126738Z,Negative,رئيس ماه عاط شى ,2024-06-10T18:27:16.126738Z
734,1,2024-06-10T18:27:24.452755Z,Positive,جزك الله خيرا انت علي تقول ألحقه اوجرفيك علي ياطالك شكرا لك,2024-06-10T18:27:24.452755Z
735,1,2024-06-10T18:27:28.369880Z,Positive,وخيرت اكبيره عالمولانه ال صحه حته اتبارك الله الله ازيد إن شاء الله,2024-06-10T18:27:28.369880Z
