english,hassaniya-ar,hassaniya-en
Are you sure you know how to do this?,انت متأكد انك تعرف ذ اللي لهي اتعدل,2nte mit2ked 2nk te3rev 4e 2li lehi 2t3adel
I like pizza very much.,نبغي بيتزا حته,nibghi pizza 7att
Who coaches the team?,ذ الفريق مدربُ منه؟,4e lvri9 mouderibou menhou?
What a beautiful rainbow!,يللالي مزين ذا خط الندوه,yallali mezyen 4e 56 nedwe
Please do not take photos here.,حگل لا اتصور هون,7egele la tsewer houn
The distinction in usage between the two words is clear.,الفرق بين استخدام ذو الكلمتين واضح,lvar9 beyn esti5dam 4ou lkelmtyn wadhe7
Please throw the ball.,حگل ازرگ بالون,7agalla zreg ballon
Ahmed left me a message.,خلالي أحمد رسالة ,5elali Ahmed risale 
Would you like to listen?,تبقي تسمع؟,Teb9i tesme3?
We are all suspicious about him.,كنا كاملين شاكين فيه,kena kamlin shakin vih
Who teaches you French?,من يگريك الفرنسية؟,mn ygarik lvaransiye?
The bottle is filled with water.,البوش ملان من لما,lbouch mlan lme
His dad calls him Edi.,والدو يكنيه ادي,waldou ykenih edi
Rub salt in the wound.,حك الملح على الجرح,7k lmil7 3le ljir7
May I borrow your knife?,نگد نعري موسك؟,ngued ne3ri mousak?
"It's very hot, isn't it?",هون حامي مالها حگ؟,hown 7ami malha 7ag?
Aziz can run fast.,عزيز سابگ,3aziz sabg
Do you know who he is?,تعرفو؟,te3revou?
It's time for you to buy a new car.,لحگ الوقت الي تشري فيه وتة اجديدة,l7eg lwe9et li techri vih wete jdide
It's fifty kilometers to Paris.,هذا گد خمسين كيل من باريس,ha4a gued 5amsin kil mn paris
"You have cleaned your shoes, haven't you?",اصگلت اياك انعايلك؟,sgelt yak n3aylek?
You should have worked harder.,كنت يالتك تجتهد اكثر,kent yaltek tejthed ekthar
I heard my name called.,اسمعت اسمي,Sme3et 2esmi
I was happy then.,ذاك الزمن كنت منبسط,4ak zemen knt menbsa6
There was an enormous traffic jam in downtown Nouackchott.,كان فيه سيركيلاسيوه اميتينه اف انواكشوط,kan vih curculation 2mtine vi Nouackchott
Does anyone speak English?,هون حد يتكلم الإنجليزية ؟,Houn 7ed yetkelem lengliziye ?
My parents hate him.,والدي ما يگد عليه,Waldeye maygedou 3lih
How often do you go abroad?,كم من مرة اتسافر شور الخارج عادة؟,kem mn mere tsaver chour l5arej 3adeten?
Ahmed is about to leave.,أحمد لاه يمشي,Ahmed lahi yemchi
He told me he would go to nouakchott.,گالي انو گايس نواكشوط,gal 2enou gayes nouakchott
That's because the bubble vanished into thin air.,ذاك بيهلي النفيخة شالتها لرياح,4ak biheli nefey5a chaletha lerya7
I cannot bear the pain any more.,ماتليت گاده نتحمل الالم اكثر,matleyt gade nit7amel lelem ekther
The car broke down.,الوتة خسرت,lwete 5esret
Do you still need tea?,مزلت ادور اتاي؟ ,mazlt 2dewr 2tay?
Please stop talking.,اسكت حگلل,2skt 7agll
I remember hearing that music somewhere.,كط سمعت ذ الهول فبلد اوخر,ga6 sma3t 4e lhewl v bled o5ar
Do you think so?,گايلها؟,gayelha?
Aziz frowned.,عزيز عگد نواصيه,3aziz 3agd nwassih
We must all take care to preserve our national heritage.,يالل نهتمو بالمحافظه على تراثنا الوطني,yall nihtemou bilmou7ave8a 3le tourathne lwa6ani
I need you.,انا فاصل فيك,Ane vasel vik
I just wanted to check my email.,ان اندور توف نتأكد مَنْ بريدي الإلكتروني,2ane ndour tewv net2eked mn beridi l2eliketrouni
"This is a man, that is a woman.",هذا راجل ذيك امرا,ha4a rajel 4ik mra
He might change his mind.,ايگد يغير رأيه,2ygd yghayer re2yu
"In the end, he landed in jail.",في الاخير ، دخل الحبس,vi l25ir d5al l7abss
How many close friends do you have?,عندك كم من لصحاب گريبلك؟,3endek kem mn ls7ab greyeblek?
Not bad.,لباس,lebass 
That's hard to say.,ماني مغرش,mani mgharach
You must be kidding!,قطعنك اتجوق!,9e63enek 2tjew9!
"All of a sudden, three dogs appeared in front of us.",فجاه ظهرو اثلت كلاب گدامنا,vej2e 8ahrou thlt klab gidamne
We all desire success.,كاملين نبغو ننجح,kamlin nebghu nenj7u
How long did it take you to translate this book?,گبظ منك كم من الوقت ياك ترجم ذ لكتاب؟,Gbe8 menek kem mn lwe9et yak terjem 4e lektab?
I live in Mauritania.,ساكن اف موريتاني ,Saken 2ev mauritanie
School begins at eight-thirty.,الطلوع ييدا الثامنه و النص,6lou3 yebda thamne w niss
Which car is ours?,أي الوتات وتتنا؟,ey lwetat wetetna?
Can I borrow your pen?,تگد تعريلي قلم؟,tgued te3rili 9lem?
I'm hungry!,أنا ظمران,Ena 8amrane
Just imitate what he does.,الا حامر ذلي يعدل وتوف,ela 7amer 4eli yo3adel towv
Raise your right hand.,رگب ايدك العربيه,Regeb eydk l3arbiye 
My mother can't ride a bicycle.,امي ما اتگد تركب الرالة ,oumi matgd terkeb 2rale .
Ahmed and I are here to help.,أنا و احمد هون ياك انعاونوك,2ane w Ahmed houn yak n3awnouk
I don't want it anymore.,ماتليت اندورو,matleyt ndourou
The decision is not final.,هذا القرار ماه ماضي,ha4a l9arar maho madhi
Is your watch correct?,وقاتك وقته صالح؟,we9atek we9ethe sale7?
Do you have one?,عندك واحد؟,3endek wa7ed?
The train has already left.,ترين كيفنو مشى,tren kivnou mche
Who wrote the letter?,ذي لبراوة من كاتبها؟,4i lebrawa mn ktebha
Your chair is identical to mine.,مگعيدتك الا كيف مگعيدتي,meg3eydtek la kiv meg3eydti
She baked me a cake.,عدلتلي كيكة,3edeletli keyke 
I'm glad to see you back.,افرحت ابرجعتك,vre7et breje3tek
What's your real purpose?,شنه هدفك الحقيقي؟,chenhu hedevek l7e9iy9i?
Tell me how to solve the problem.,علمني بسمحيلة نحل ذي المشكلة,3alemni besm7ila n7el 4i lmouchkila
Fadil did like money.,فاضل كان يبقي الفظ,Fadil kan yeb9i lve8e
The blue dress suits her.,الرمباية الخظرة زينة,rembaye l5a8ra zeyna 3liha
You deserve the prize.,تستحق الجائزة,teste7e9 el ja2ize
Some were late.,تأخرو شي منهم,t25rou chi minhoum
fatimetou hasn't come yet.,فطمتو مافات جات,va6metou mavat jat 
What time does your watch say it is now?,الوقت عندك شنهو؟,2lwa9t 3andk chinhou?
I will not be dictated to by some idiot in the personnel department.,مانو لهي يرأسني زوگل من رسورس ايمين,manou lehi yer2sni zweygl mn RH
Where were you?,امنين كنت؟,mneyn kent?
Don't trust him.,لا توثق فيه,la towtha9 vih
Who took care of the dog while you were away?,من اطرح بالو للكلب عاگبك ,mn 6r7 balou lilkelb 3agbk
I own one cat.,عندي مش واحد,3endi mech wa7ed
Khadijetou likes watching TV.,خديجة غالي عليها تخراص التلفزة,5adijetou ghali 3liha te5rass telveza
We must contact the police at once.,يالتنا نتلفنو على بوليس حالا,yaltna ntelvnou 3le police 7alan
Sit at the table.,اگعد على الطابله ,2g3id 3la 6able
I swim once a week.,انعوم مره وحده للسبوع,n3oum mara wa7de lisbou3
I advise you not to keep company with Aziz.,ماني متبصرلك صحبة عزيز,mani metbasarlak se7bet 3aziz
I have an old car.,عندي وت قديمة,3endi wete 9ediyme 
This video is not available in your country.,هذا الفيديو ماه متوفر ف دولتك,ha4e 2lvideo mahu metwever v dewltk
You need not telephone me.,مانك محتاج اتلفنلي,manek me7taj telvenli
She is very intelligent.,هي عويقلة,hiye 3wey9le
You ran a red light.,ارانك اتخطيت افي روج,ranek t5e6eyt feu rouge
chinguetti is a quiet and beautiful city.,شنقيط دشرة ازوين و ابلا حس,chinguetti dechra zweyne w bla 7es
Vadhel left the gate open,فاضل خلى البوابة مفتوحه,Vadhel 5la lbewaba meftou7a
I'm going to go.,لاه نمشي ظرك,lahi nemchi 8ark
My father goes to work by bike.,والدي يگيس الشغلة راكب رالة ,waldi yguiss chaghla rakeb rala
I have a message for you from her.,عندي لك رسالة منها,3endi lek risale menhe
You'd better hurry up.,اشبهلك تعجل,chbehlek te3jel
I can read them all.,نگد نگراها كامل,ngued nagraha kamel
She said that it might be true.,گالت عنو يگد يعود حگ,galt 3ano ygued y3od 7ag
Where is the bathroom?,امنين الدوش؟,mneyn douch?
This is how we've got to know each other.,بذ الحال اتعارفنا,B4i l7al 2t3arvne
I can't find Ahmedou.,غالبني نجبر أحمدو,ghalebni najbar a7medou
Would you like to come?,تبقي ادجي؟,teb9i dji?
Ahmed lived with us for three months.,أحمد اسكن معان اثلت اشهر,Ahmed sken m3ane 2ethlet 2echher
He's a good person.,هو رگاج صالح,houwe regaj sale7
The rain lasted five days.,السحاب فوتت اخمسة ايام,s7ab vewtet 5msst eyam
My father has a restaurant.,والدي عندو مطعم,waldi 3ando ma63am
The rain spoiled our picnic.,السحاب خسرت تسديرتنا,s7ab 5arrsrt tisdirtne 
Mustafa broke the window yesterday.,البارح مصطفى دگدگ الكوى,lbare7 mes6ave degdeg lkewa
Let's speak in English.,خلينا نتكلمو بلانگليزيه,5aline nitkelmou b lingliziye 
"Back in high school, I got up at 6 a.m. every morning.",الين كنت ف لِيْسَ، كنت نوعَ كل صَبْحايَ الساته,"2ilyn kent v lycee, kent new3e kel seb7aye 2sate"
Mohamed died.,محمد توفى,Mohamed twefa
He seems to have been rich.,ايبان كان بطرون,2yban kan ba6roun 
You'll need a temporary bridge.,اتدور تحتاج جسر مؤقت,dor ti7taj jeser mou29t 
"You aren't a spy, are you?",انت مانك جاسوس حگ؟,nte manek jasous 7eg?
I don't like these remarks.,ما عاجبيني هاذ التعليقات ,ma 3ajbiyni ha4ou te3liy9at
Jamal has an appointment with the college principal.,جمال عندو معاد امع عميد الكلية,Jemal 3endu mi3ad m3e 3emiyd lkouliye
I'm cutting down on sweets.,لاه نخفف من وكيل التناگل,lahi n5aff mn wkil tnagl
The meat tastes bad.,طعمة اللحم ماهي زينة,6e3mt l7am mahi zeyna
Would you pass me the salt?,اتگد تمد لي الملح؟,2tgd 2tmd li 2lmil7?
It might rain tomorrow.,السحاب اتگد اتجي الصبح,2ss7ab 2tgd 2tji sib7
There's no air in this room.,البيت مو متهوي,2lbeyt mo mithewi
Mouhamed is as tall as oumar.,محمد متگاد مع عمر,m7ammed mtgad m3a 3oumar
I will love you always.,اندور نبغيك دايما,ndor nibghik daymn 
Are you not tired?,مالك فتران؟,malak vetran?
You'd better start now.,اشبهلك تبدا ظرك,chbehlek tebde2 8erk
What time can I be there?,اف اي ساعه انگد نوصل فم,v2y sa3a ngd newssal vem ?
"The check, please.",الفكتيرة حگل,lvektire 7egele
You can't finish this project.,ما تگد اتوفي ذ المشروع,Matged twevi 4e lmechrou3
How tall are you?,طولك كم؟,6oulek kem?
The last person I told my idea to thought I was nuts.,اخر حد گتل فكرتي شكني مجنون,2a5er 7ed getlou vikerti chekeni mejnoun
"You are tired, aren't you?","انت فتران, اماله حگ؟","2nte vetran, malhe 7eg?"
Are you married?,انت متخيم؟,Nte met5eyem?
We arrived first.,اوصلنا اولا,wsalne eweln
It is dangerous to drive so fast.,هذا من الشح خطير,ha4a mn cha7 5a6ir
"Hello, this is Mouhamed.",السلام عليكم ، امعاك محمد,"selamou 3aleykoum, 2m3ak mou7ammed"
Aziz watched TV yesterday.,عزيز خرص التلفزة يامس,3aziz 5arass telveza yamis
I don't know what to do anymore.,مانعرف شلاهي انعدل عاگب ظرك,man3rev chlahi n3edel 3ageb 8erk
"Frankly speaking, he is wrong.",لعدت دور الحگ هو ذل عدل خاسر,la3edt dor l7ag 4eli 3adel 5asser
You have to understand that I have to go now.,يالتك تفهم اني يالت نمشي ظرك,Yaltek tevhem 2en yalti nemchi 8erk
Nessiba is from London.,نسيبة من لندن.,Nessiba mn London
You may choose whichever you want.,تگد تختر اللي تبغي,tgued te5ter eli tebghi
Aziz doesn't like cheese.,عزيز ما يبغي فروماج,3aziz ma yebghi fromage
It is raining.,السحاب ماشة,2s7ab mache
We are able to deliver within a week.,الطلبيه انگد انسلموها ف اسبوع,6alabiye ngidou nselmou v sbou3
I lost my shoe in the fire.,نعالتي وقدت علي اف لحريگه,n7alti w9dt 3liye v li7rige 
Mustafa works hard.,مصطفى شقال,Mes6ave cha9al
When is school over?,اينت اتنگز؟,inte 2tnegez
"Now that you are tired, you'd better rest.","بما انك فتران, اشبهلك الا تستراح","bima 2enek vetran, chbehlek la testera7"
Can I help you?,بسمحاله انگد انعاونك,besim7ale 2ngd 2n3awnk
He has been warned on several occasions.,اوحذر مرات,w7e4er merat
I'll love you forever.,لاهي نتم الا نبغيك,lehi ntem ela nebghik
Ely made the same mistake again.,اعلي عل نفس الخطأ,e3ly 3al nevss l5a6a2
Be sure to drop in at my house.,لا تنسى انك تجي للدار,latense ink tji lidar
Living abroad is the best way to learn a foreign language.,السكن في الخارج هو اشبه طريقه اياك تتعلم لغه اخرى,seken vi l5arj houwe 2chbeh 6ari9a iyak tit3alem lougha 25ra 
Have you washed your hands yet?,اغسلت ايديك؟ ,2ghselt 2yedik?
Let's not be in too much of a hurry.,خلين ما نعجل,5eline ma ne3ejlou
It can't be true.,ما يگد يعود حگ,maygued y3od 7ag
Oumou spoke hassaniya slowly.,أومو اتكلمت الحسانيه بشور,oumou tkelmet bil7assaniya bishor
In Europe and America they regard the dog as a member of the family.,اف اوروبا و آمريك الناس تعتبر لكلاب من الاسره ,v europa w 2amrik nass ti3tbr leklab mn lousra
How unlucky I am!,أنا نلعگ,ena nal3ag
Think about it.,تخمم ف ذاك,T5emem v 4ak
I always walk to school.,دايما انگوطر للمدرسه,daymn ngo6ar lilmedrasse
Nearly a thousand people participated in the demonstration.,ذي المظاهرة شارك فيها اكريب من ألف ارگاج,4i lmo8ahara charek vih greyibmn elv aragaj
You'll never be alone.,مانك لاه تبگ وحدك ,manek lahi tebge we7dek
One must do one's best.,حد يال يجتهد,7ad yall yichthed
Aziz is living with his uncle now.,عزيز ساكن مع عمو ظرك,3aziz saken m3a 3amou 8ark
You'll forget about me someday.,ادور تنساني انهار من انهارات,2edour tensani nhar mn nharat
The earth is round.,الأرض مزگن,L2erd mezegene 
I shouldn't have come here.,مايال انجي هون,mayall 2nji houn
Sid'Ahmed called at Dah's house.,تلفن سيد أحمد على تلفون دار الداه,Telven sid Ahmed 3le telephone Dah
Please translate this sentence into Japanese.,حگل ترجملي ذي الجملة شور اليابانية,7agalla tarjamli 4i ljoumla chor lyabaniye
Since you say so.,بينك گلت ذاك ,bink glt 4ak
There is nothing to worry about.,لا يخمك شي,la y5amk chi
Please iron the shirt.,باسي تركي حگل,bassi terki 7agalla
Do you know what the time is?,تعرف الوقت شنهو؟,te3rev lwa9t chinhou?
Aren't you Aziz?,مانك عزيز؟,manak 3aziz?
Let me go alone.,خليني نمشي وحدي ,5alini nimchi wa7di 
How many apples are there?,كم ابمايه؟,kem pommaye
Why are you so tired today?,لاش فتران اليوم؟,lach vetran lyoum
Maryem plays the harmonika .,مريم لعبت بالنيفاره,maryem l3abet b-neifare
"You can't swim, can you?",حگ ما تعرف العوم؟,7eg ma te3rev l3ewm?
Have you answered that letter yet?, رديت على ذاك المساج؟,redeyet 3la 4ak 2l-mesaj?
Why couldn't you sleep last night?,لاش ما گديت ترگد البارح؟,lach ma guedyet tergued lbare7?
You can't get lost in big cities; there are maps everywhere!,ماتگد توقد ف الدشر لكبارات بيهلي فم دائما خرايط اف كل ابلد,matged touw9ed v dcher lekbarat biheli vem daymen 5araye6 v kel bled
"I can't remember how to say ""Thank you"" in German.",ماني متفگد بسمحالة نگول شكرا بالألمانية,mani metvegued besm7ala ngoul choukran b lalmaniye
"Every morning, she helps her mother make breakfast in the kitchen.",تعاون امه كل صبحاية فالكوزين ياك أتعدل صبوح ,T3awen 2emhe kel seb7aye v lkouziyn yak t3edel sbou7
"Ah! If I were rich, I'd buy myself a house in Spain.",لكنت بطرون نشري الراصي دار ف اسبانيا,lekent be6roun nechri lrasi dar v sbaniya
Mustafa left for France yesterday.,مصطفى گاس فرنسا يامس,Mes6ave gass varansa yames
The teachers greeted the little boy.,الگرايه رحبو بالطفل اصغير,lgeraye ra7bou b 6vl sghyr
The rumor isn't true.,ذيك إشاعة ماهي حگ,4ik icha3a mahi 7ag
It is like looking for a needle in a haystack.,ذاك برا طاحت فبحر,4ak bre 6a7et v b7ar
"When will you be back? ""It all depends on the weather.""",انت لاهي ادجي؟ يعتمد ذاك عل الجو,2nte lahi dji? ye3temed 4ak 3le ljew
My name is Binta.,أسمي بنتا,esmi Binta
When will you come home?,اينت لهي ترجع للدار,inte lehi terj3 lidar?
You must study hard.,يالتك تبذل جهدك اف لگراي,yaltek teb4el jehdek v legraye
The town grew into a city.,البادية عمرت وعادت دشرة,lbadiya 3emret w 3adet dechra
"In case it rains, I won't go.",لين تجي السحاب ماني ماشي,leyn tji s7ab mani machi 
What does your aunt do?,شنه مجال شقلت خالتك؟,chenhou mejal che9let 5altek?
Watermelons are in season now.,هذا زمن الدلاح,ha4a zemen dala7
I can't believe my eyes.,مان گاد انصدق عيني,mani gad nsede9 3eyni
Hi! How are you?,السلام عليكم ، اشحالك ,"selamou 3aleykoum, 2ch7alk"
You can go home if you like.,اتگد ترجع للدار لبغيت,tgd terj3 lidar lebghayt
Are you meeting someone here?,لاه تجابر امع حد هون؟,lahi tejaber m3e 7ed houn?
"I like animals, for example, cats and dogs.",انا نبغي الحيوانات كيف لكلاب او لمشوشه,"2ne nibghi 2l7eywanat, kiv lklab 2w lmchouche "
Sami started speaking.,سامي سنتى يتكلم,sami senta yetkalam
I don't know if I still have it.,مانعرف كانه مزالت عندى,man3rev kanhe mezalet 3endi
I've seen all his movies.,شفت فلمات كاملين,Chevet filmatou kamlin 
Aziz runs very fast.,عزيز سابگ,3aziz sabeg
He got angry.,انفگع,envga3
All that glitters is not gold.,موه كل شي يلمع ذهب,mahu kl chi yelm3 4eheb
I'll lend you my notebook.,لاه نعريلك كرنتي ,lahi ne3rilek karenti
The duke holds a lot of land.,الدوق عندو ياسر من اترايب,edou9 3ando yasser mn trayib
Knock on the door.,كر الباب,ker lbab
I am too tired to walk any more.,أنا فتران ولا تيت گاد نتواطى,ena vetran wla teyt gad netwa6a
You look pale.,ايبان وجهك نشفان,yban wejhek nechvan
I liked this film.,ازيان عندي هذا فلم,zyan 3endi ha4e film
The house went cheap.,الدار نباعت بالهون,dar nba3et blhown
I have to take medicine.,يالت نگبظ ادو,yalti negbe8 dwe
I'll join you later.,ندور نجيك من بعد,ndor njik mn ba3d
My father will not be busy tomorrow.,والدي ماه لاه أيعود واحل صبح,Waldi mahou lahi y3oud wa7el sebe7
How long will you stay here?,امفوت كم من الوقت هون؟,mvewet kem mn lwe9et houn?
Don't forget the ticket.,لا تنس تكت,la tense tiket
You should eat more fruit.,يالل توكل فواكه اكثر,yall tewkel vewakih 2kther
Mariem is liked by everyone.,كاملين يبغوا مريم,kamlin yibghou Maryem
This aroused my fears.,خلعني هذا,5la3ni ha4a
Can you prove it?,عندك عليه دليل؟,3andak 3lih delil?
He couldn't get the job.,ما كد يجبر الشغلة,magued yajbar chaghla
What a cute little girl!,الشويبه زوينه,chweybe zweyne
The early bird catches the worm.,الطير المبكر يجبر الدودة,6eyr lembeker yejber edoude
She chose the red dress.,گبظت الرمبايه الحمره,gab8t 2irimbaye 2il7amra
You are teachers.,انتوم گرايه,ntoume geraye
The doctor advised her to enter the hospital.,الطبيب انصحها انها تجي للطب,6abib nsa7ha inhe tji li 6ab
You are not a coward.,مانك اذليل,manek 4leyel
The shop is open from Monday to Saturday.,يفتح البوتيگ من الاثنين للسبت,yafta7 lboutigue mn lethneyn le sebt
Maryem looked at herself in the mirror.,مريم خرصت راصها اف لمرايه,maryem 5arṣat rassha 2flmraye
"Now that I am here, you don't have to worry.",لا يخمك ، انا هون ظرك,"lay5amk, 2ne houn 8ark"
"How are you, Aziz?",عزيز شحالك؟,3aziz ch7alak?
What's new?,اشطاري,ch6ari 
They don't even know why.,هوم مايعرف گاع اعلاش,houme maye3ervou ga3 3lach
A friend in need is a friend indeed.,الصاحب وقت الشده,2sa7b wa9t 2chidde
The door opened.,الباب انفتح,lbab nfta7
Please put on your shoes.,حگل اربط نعايلك,7egele rb6 n3aylk
I don't want there to be any misunderstanding.,ما نبغي يعود فم سوء فهم,ma nebghi y3od vem sou2 vehm
He screamed for help.,زگى يدور حد يغيثو,zgue ydor 7add yghithou
"If I knew the truth, I would tell you.",لين نعرف الحگ اندور نعلمك,leyn ne3rv l7ag ndor n3elmek
"If you are to succeed in the exam, you must study hard.",لين تعود ادور تنجح، يالل تگرى حته,"leyn t3oud 2dor tenj7 , yall tegra 7att"
It's late.,ذي الساعه متأخره,4i sa3a met25ra
I want to marry you.,اندور انعود معاك ,2ndor 2n3oud 2m3ak
Please show it to me again.,وجتلك نعتهالي مره اخرى,wjtlk n3ethali merra 25khra
"What do you want? ""I want an animal.""",انت شدور ؟ انا اندور حيوان ,inte chidor ? ndor 7aywan
Mohamed Mahmoud owns this land.,هاذي التراب مولاها محمد محمود,ha4i trab moulaha Mohamed Mahmoud
I don't like my school.,ما نبقي مدرستي,Ma neb9i medresti
Come on. You can do it.,ايو تگدي تعدليها,eywe tguedi t3adliha
Here is your change.,اراعي دگديگك,ara3i degduigak
The man lost all hope.,الراجل اقنط,rajel 9na6
He is my friend. Do you guys know him?,ذ صاحبي، تعرفوه شباب؟,"4e sa7bi, te3ervouh chebab?"
Aziz is in bed with a fever.,عزيز تكاتو الحمة,3aziz tekatou l7emma
You should live up to your principles.,يالتك تلتزم اب قيمك,yaltek teltezem b 9iyemek
Layla deleted Sami's number.,ليلى مسحت رقم سامي,Layla mes7et re9em sami 
"Now that I'm retired, I can travel as much as I want to.",و ظرك الين رترتت ، انگد انسافر كيف ما نبقي ,"W 8erk 2ileyn retretet, nged nsaver kiv ma bgeyt "
Can you give me a ride to the station?,اتگد توصلني للوقفه؟,tgd twassalni llwa9ve?
I've never been abroad.,ما گطيت كنت في الخارج ابدا,maga6eyt knt v l5arj ebdn
Therein lies the problem.,ذِيْك اگبال هي العله,4iyk gbal hiye 2l3ele
Defend yourselves.,دافع عن روسكم,Dav3ou 3en rouskoum
Sami worked for a shoes store.,شتقل سامي افبوتيگ لبيع النعايل,Chet9el sami 2evboutig lbey3 n3ayel 
What time did you go to bed last night?,اينت ارگدت البارح؟,eynta rguedt lbare7
Don't be silly! We're just friends. Good friends.,خلي عنك ذ الفيافي نحن اصحاب,5ali 3nk 4e 2lveyavi n7ne 2ss7ab 
Get him!,كردوه !,kerdouh!
You have made many mistakes.,انت عدلت ياسر من الاخطاء,enta 3adelt yasser mn la56a2
Omar did not commit the crime.,عمر ماه هو اللي عدل الجريمة,3omar maho howe eli 3adel ljerima
What time will you leave?,لهي تمشي اينت؟ ,Lehi temchi inte? 
"If I were rich, I'd give you money.",أنا لكنت بطرون ، نعطيك فظتي ,"2ane lekent be6roun, ne36ik ve8ti"
Visit us tomorrow.,جينا الصبح,jine 2sb7
I started learning Chinese last week.,بديت نگر الصينية السبوع الفايت,bdeyt negre siyniye sbou3 lvayet
Haven't we met before?,گط جابرن سابگ ذا؟,Ge6 jaberne sabg 4e ?
How rude of you!,موقحك!,mew97ek!
Aren't you happy?,مندر كانك متمونك؟,mendre kanek metmewnek?
Could you direct me to the bus stop?,تگد تسهديني شور بل البيس,tgued tsehdini chor bel lbus
The murder remains a mystery.,تمت ذيك الجريمة لغز,temt 4ik ljerima loughz
What made her so sad?,شمكدر عليها,chimkedr 3lihe
The school called today.,المدرسة تلفنون اليوم,Lmedrese televnoune lyoum
We foresaw the war.,ستولين بالحرب,Stewle bil7arb
What marvelous weather.,الجو حقيقي,ljew 7a9i9i
The rain lasted a week.,السحاب فوتت سبوع,s7ab vewtet sbou3
English is spoken in America.,الانگلبزيه لغه معمله ف امريك, lingliziye lougha mou3amle v amrik
Bearing can be unbearable.,فشي من المرات يعود اصبر ما ينحمل,2vchi mn 2lmerat 2y3oud sber ma yene7mel
Then there is a problem...,ايو اصا فم مشكلة,eywe ssa vem mouchkile
Please will you close the door when you go out.,حگل اگفل الباب الين توخظ,7egele gvel lbab 2ileyn tew5e8
"Being very tired, I went to bed early.",كنت فتران وارگدت في وقتي,kent vetran w rguedt vi wa9ti
We've finished cleaning our classroom.,اسگلنا قسمنا,sgelne 9issmne 
I find it difficult to believe.,صعيب اعلي انصدق ذاك,se3iyb 3liye nsede9 4ak
There is a fence about the house.,خالگ گرياج على الدار,5alg giryage 3le dar 
Admission to students only.,يگد يدخل الا التلاميذ ,ygid yid5l ela tlami4
You should acknowledge your failure.,يالتك يجد اعليك عنك خايب,yaltek yjed 3lik 3enek 5ayeb
The news created a lot of confusion.,ذلي نگال فالاخبار خلعنا,4eli ngal vlakhbar 5la3na
Layla was waving and yelling.,ليلى كانت تشير وتژگي,leyla kant tcheyr w tezgui
I have a lot of homework.,عندي ياسر من الواجبات,3andi yasser mn lwajibat
The letter was to let her know that he had been ill.,لبراوة كان فيها انو مريض,lebrawa kan vihe eno howe meridh
All you have to do is to take care of yourself.,الي اعليك من شي الا انك تطرح بالك الراصك,2eli 3lik mn chi 2ela nek te6re7 balek rasek
You won't have your way.,مانك لاهي تنجح,manak lehi tanja7
Sami liked the music life.,سامي كانت وذنو بيظة,Sami kanet we4ou be8a
He returns to his home.,ارجع الدار,Rje3 ldarou 
I'll teach you how to drive a car.,لاه انعلمك تحراك الوتات ,lahi n3elmek te7rak lwetat
Don't say that.,لا تگول ذ,la tgoul 4e
The old man predicted our success.,ذاك الشيباني كان موزن عنا لاهي نفوزو,4ak cheybani kan mwezan 3anna lehi nvouzou
We were late for school because it rained heavily.,حصرنا عن المدرسة بينا السحاب متينة,7ssarna 3n lmedrassa bina s7ab mtina
You arrived at the moment I left.,جيت وقت مشيتي,jeyt we9et mechiyti
I will present myself at the meeting.,ندور نقدم راصي فالاجتماع,ndor n9adem rassi v lejtima3
"Hand me that book, please.",مدلي ذوك الكتاب حگل,medli 4ok lektab 7aglla
Why not go to the movies?,لاش ما تمشي معاي شور السينما,lach matimchi chor cinema ?
"Hurry up, or you'll miss the bus.",اعجل و الل لاه يفوتك البيس,23jel wll lahi yvoutk lbiss
I arrived in Tokyo yesterday.,اوصلت لطوكيو البارح,2ewselet l6oukyo lbare7 
The house requires repairs.,الدار قالينها اصلاحات,dar 9alinha isla7at
"Even though I felt that there was something strange, I just didn't know what it was.",معني حسيت بشيء غريب يغير ما عرفت شنهو؟,m3eni 7asseyt 2b chi gharib yeghyr ma3rvt chinhou  
This dog is more attached to us than this cat.,هذ الكلب يبقين اكثر من ذ المش,Ha4e lkeleb yeb9iyne 2ekther mn 4e lmech
We must take his youth into account.,يالل نگبظو صغرو ف عين الاعتبار,yall negib8ou sighrou v 3ayn le3tibar 
"Generally, who visits their parents more, sons or daughters?","عامتن من ايجي ل اهل اكثر, ترك ول طافلات؟","3amten men yji l 2ehlu 2kther, terke wele 6avilat?"
The dog ran after the cat.,الكلب تلب النوص,lkelb tleb nous
We are against war.,نحن ضد الحرب,n7ne did 2l7arb
mariem has been dead for eight years.,مريم اتوفات من اثمن سنوات,maryem twefat mn 2thmn senewat
Give me chapter and verse.,عطيني معلومات دقيقة,36iyni me3loumat de9iy9a
I made it myself.,أنا عدلتها براصي,ena 3adelteha brassi
Don't depend on your parents too much.,لا تعتمد على والديك حت,lati3temed 23le waldeyk 7att
What did you do on your vacation?,اشعدلت ف عطلتك؟,ch3adelt v 3i6ltk?
How dare you say that?,شمجرأك اعل گولان شي ذ كيف؟,chemjer2ek 3le gewlan chi 4e kivou?
We just have to swallow it.,يالل انحكوه ف اجلودنا,yall 2n7ikouh v 2jloudne
It's not so far.,ماه بعيد,maho b3id
"If he had told me the truth, I would have forgiven him.",لكان ما اكذب اعلي كنت لهي نسامحو,lekan mak4ib 23liye knt lehi nsam7ou
