english,hassaniya_ar,hassaniya_en,bucket,source,context
appartement (from French),ابرتماه,abrtmah,marketplace_qa,voursa_marketplace,real_estate_vocabulary
duplex (from French),ديبلكس,dyblks,marketplace_qa,voursa_marketplace,real_estate_vocabulary
chantier - construction site (from French),شانتي,chanty,marketplace_qa,voursa_marketplace,real_estate_vocabulary
opens to/facing,فاتح,vat7,marketplace_qa,voursa_marketplace,real_estate_vocabulary
back,الوره,alwrh,marketplace_qa,voursa_marketplace,real_estate_vocabulary
front,الكدام,alkdam,marketplace_qa,voursa_marketplace,real_estate_vocabulary
upper floor,القوك,al9wk,marketplace_qa,voursa_marketplace,real_estate_vocabulary
la poste - post office (from French),البوصط,albws6,marketplace_qa,voursa_marketplace,real_estate_vocabulary
opportunity (from French 'force'),فورصة,vwrsa,marketplace_qa,voursa_marketplace,real_estate_vocabulary
half,نص,ns,marketplace_qa,voursa_marketplace,real_estate_vocabulary
bloc - block (from French),بلو,blw,marketplace_qa,voursa_marketplace,real_estate_vocabulary
easy/simple (Hassania),هوين,hwyn,marketplace_qa,voursa_marketplace,real_estate_vocabulary
"Peace be upon you. This is a plot from H Suite, area 700m², being sold for 40 million. For more information, call the following number: 49546950",السلام عليكم هذ نيمرو من h اسويت مساحة 700م# مبيوع ب 40مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,alslam 3lykm h4 nymrw mn h aswyt msa7a 700m# mbyw3 b 40mlywn ll2stvsar akthr atslwa 3la alr9m altaly 49546950,marketplace_qa,voursa_marketplace,real_estate_description
"[Facebook Marketplace: Vehicles - MRO1,700,000]",Corola 2013 44266586 whats app,Corola 2013 44266586 whats app,marketplace_qa,facebook_marketplace_nouakchott,marketplace_listing
[Facebook Marketplace: Real Estate - MRO16],منزل في الفلوجة,mnzl vy alvlwja,marketplace_qa,facebook_marketplace_nouakchott,marketplace_listing
in Fallujah neighborhood,فالفلوجة,valvlwja,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
[Facebook Marketplace: General - MRO100],49053247 WhatsApp et appel.....,49053247 WhatsApp et appel.....,marketplace_qa,facebook_marketplace_nouakchott,marketplace_listing
"Peace be upon you. These 4 apartments for sale in Tarhil near the police station, Massoud Street",السلام عليكم ذوك4 ابرتمهات للبيع فالترحيل حذ مفوضية الشرطة شارع مسعود,alslam 3lykm 4wk4 abrtmhat llby3 valtr7yl 74 mvwdya alchr6a char3 ms3wd,marketplace_qa,facebook_marketplace_nouakchott,marketplace_listing
these (Hassaniya demonstrative),ذوك,4wk,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
apartments (Hassaniya plural),ابرتمهات,abrtmhat,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
in Tarhil neighborhood,فالترحيل,valtr7yl,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
near/beside (Hassaniya),حذ,74,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
"[Facebook Marketplace: Real Estate - MRO4,500,000]",قطع ارضية,963 ardya,marketplace_qa,facebook_marketplace_nouakchott,marketplace_listing
"House in inner Bouhadida, has three rooms, sitting room, veranda, showers and kitchen. Price 11 million 800. To order: 36705170",دار فبوحديدة الدخلاني فيه اثلت بيوت وجلسة وفرند دوشات وكوزين السعر 11مليون و 800 للطلب36705170,dar vbw7dyda ald5lany vyh athlt bywt wjlsa wvrnd dwchat wkwzyn als3r 11mlywn w 800 ll6lb36705170,marketplace_qa,facebook_marketplace_nouakchott,marketplace_listing
house (Hassaniya),دار,dar,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
in Bouhadida neighborhood,فبوحديدة,vbw7dyda,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
interior/inner,الدخلاني,ald5lany,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
three rooms,اثلت بيوت,athlt bywt,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
sitting room,جلسة,jlsa,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
veranda (from French),فرند,vrnd,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
showers (from French douche),دوشات,dwchat,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
kitchen (from French cuisine),كوزين,kwzyn,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
"We have types of melahfa, twisted and decorated, like ruby, blessed be God",عندن انواع لملحف مبروم ومرشوش كيف الياقوت تبارك الله,3ndn anwa3 lml7v mbrwm wmrchwch kyv alya9wt tbark allh,marketplace_qa,facebook_marketplace_nouakchott,marketplace_listing
we have (Hassaniya),عندن,3ndn,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
melahfa (traditional Mauritanian women's dress),لملحف,lml7v,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
twisted/rolled (fabric type),مبروم,mbrwm,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
sprinkled/decorated,مرشوش,mrchwch,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
like (Hassaniya),كيف,kyv,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
ruby/precious,الياقوت,alya9wt,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
"[Facebook Marketplace: Services - MRO3,500]",سوق الخدمات الموريتاني,sw9 al5dmat almwrytany,marketplace_qa,facebook_marketplace_nouakchott,marketplace_listing
"these (Hassaniya demonstrative, from ذاك)",ذوك,4wk,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
apartments (Hassaniya plural of ابرتماه),ابرتمهات,abrtmhat,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
near/beside (Hassaniya preposition),حذ,74,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
house (common in Hassaniya),دار,dar,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
veranda (from French 'véranda'),فرند,vrnd,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
showers (from French 'douche'),دوشات,dwchat,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
kitchen (from French 'cuisine'),كوزين,kwzyn,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
melahfa (traditional dress),لملحف,lml7v,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
twisted/rolled fabric,مبروم,mbrwm,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
sprinkled/decorated,مرشوش,mrchwch,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
we have (Hassaniya 1st person plural),عندن,3ndn,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
like (Hassaniya comparison),كيف,kyv,marketplace_qa,facebook_marketplace_nouakchott,marketplace_vocabulary
"[Facebook Marketplace: Real Estate - MRO1,180,000]",دار فبوحديدة الدخلاني فيه اثلت بيوت وجلسة وفرند دوشات وكوزين السعر...,dar vbw7dyda ald5lany vyh athlt bywt wjlsa wvrnd dwchat wkwzyn als3r...,marketplace_qa,facebook_marketplace_nouakchott,marketplace_listing
[Facebook Marketplace: Clothing - FREE],عندن انواع لملحف مبروم ومرشوش كيف الياقوت تبارك الله,3ndn anwa3 lml7v mbrwm wmrchwch kyv alya9wt tbark allh,marketplace_qa,facebook_marketplace_nouakchott,marketplace_listing
"[Facebook Marketplace: Services - MRO3,500]",سوق الخدمات الموريتاني,sw9 al5dmat almwrytany,marketplace_qa,facebook_marketplace_nouakchott,marketplace_listing
[Facebook Marketplace: Vehicles - FREE],Toyota Land Cruiser 100 series,Toyota Land Cruiser 100 series,marketplace_qa,facebook_marketplace_nouakchott,marketplace_listing
"[Facebook Marketplace: Vehicles - MRO340,000]",Rav 4 2012 Diesel a vendre,Rav 4 2012 Diesel a vendre,marketplace_qa,facebook_marketplace_nouakchott,marketplace_listing
